country,Categories
Afghanistan,Under-developing country
Albania,Under-developing country
Algeria,Under-developing country
Angola,Under-developing country
Antigua and Barbuda,Under-developing country
Argentina,Under-developing country
Armenia,Under-developing country
Australia,Developed Country
Austria,Developed Country
Azerbaijan,Under-developing country
Bahamas,Developed Country
Bahrain,Developed Country
Bangladesh,Under-developing country
Barbados,Under-developing country
Belarus,Under-developing country
Belgium,Developed Country
Belize,Under-developing country
Benin,Under-developing country
Bhutan,Under-developing country
Bolivia,Under-developing country
Bosnia and Herzegovina,Under-developing country
Botswana,Under-developing country
Brazil,Under-developing country
Brunei,Developing Country
Bulgaria,Under-developing country
Burkina Faso,Under-developing country
Burundi,Under-developing country
Cambodia,Under-developing country
Cameroon,Under-developing country
Canada,Developed Country
Cape Verde,Under-developing country
Central African Republic,Under-developing country
Chad,Under-developing country
Chile,Under-developing country
China,Under-developing country
Colombia,Under-developing country
Comoros,Under-developing country
"Congo, Dem. Rep.",Under-developing country
"Congo, Rep.",Under-developing country
Costa Rica,Under-developing country
Cote d'Ivoire,Under-developing country
Croatia,Under-developing country
Cyprus,Developed Country
Czech Republic,Developed Country
Denmark,Developed Country
Dominican Republic,Under-developing country
Ecuador,Under-developing country
Egypt,Under-developing country
El Salvador,Under-developing country
Equatorial Guinea,Developed Country
Eritrea,Under-developing country
Estonia,Under-developing country
Fiji,Under-developing country
Finland,Developed Country
France,Developed Country
Gabon,Under-developing country
Gambia,Under-developing country
Georgia,Under-developing country
Germany,Developed Country
Ghana,Under-developing country
Greece,Developed Country
Grenada,Under-developing country
Guatemala,Under-developing country
Guinea,Under-developing country
Guinea-Bissau,Under-developing country
Guyana,Under-developing country
Haiti,Under-developing country
Hungary,Under-developing country
Iceland,Developed Country
India,Under-developing country
Indonesia,Under-developing country
Iran,Under-developing country
Iraq,Under-developing country
Ireland,Developed Country
Israel,Developed Country
Italy,Developed Country
Jamaica,Under-developing country
Japan,Developed Country
Jordan,Under-developing country
Kazakhstan,Under-developing country
Kenya,Under-developing country
Kiribati,Under-developing country
Kuwait,Developing Country
Kyrgyz Republic,Under-developing country
Lao,Under-developing country
Latvia,Under-developing country
Lebanon,Under-developing country
Lesotho,Under-developing country
Liberia,Under-developing country
Libya,Under-developing country
Lithuania,Under-developing country
Luxembourg,Developing Country
"Macedonia, FYR",Under-developing country
Madagascar,Under-developing country
Malawi,Under-developing country
Malaysia,Under-developing country
Maldives,Under-developing country
Mali,Under-developing country
Malta,Developed Country
Mauritania,Under-developing country
Mauritius,Under-developing country
"Micronesia, Fed. Sts.",Under-developing country
Moldova,Under-developing country
Mongolia,Under-developing country
Montenegro,Under-developing country
Morocco,Under-developing country
Mozambique,Under-developing country
Myanmar,Under-developing country
Namibia,Under-developing country
Nepal,Under-developing country
Netherlands,Developed Country
New Zealand,Developed Country
Niger,Under-developing country
Nigeria,Under-developing country
Norway,Developing Country
Oman,Developed Country
Pakistan,Under-developing country
Panama,Under-developing country
Paraguay,Under-developing country
Peru,Under-developing country
Philippines,Under-developing country
Poland,Under-developing country
Portugal,Developed Country
Qatar,Developing Country
Romania,Under-developing country
Russia,Under-developing country
Rwanda,Under-developing country
Samoa,Under-developing country
Saudi Arabia,Developed Country
Senegal,Under-developing country
Serbia,Under-developing country
Seychelles,Under-developing country
Sierra Leone,Under-developing country
Singapore,Developing Country
Slovak Republic,Under-developing country
Slovenia,Developed Country
Solomon Islands,Under-developing country
South Africa,Under-developing country
South Korea,Developed Country
Spain,Developed Country
Sri Lanka,Under-developing country
St. Vincent and the Grenadines,Under-developing country
Sudan,Under-developing country
Suriname,Under-developing country
Sweden,Developed Country
Switzerland,Developing Country
Tajikistan,Under-developing country
Tanzania,Under-developing country
Thailand,Under-developing country
Timor-Leste,Under-developing country
Togo,Under-developing country
Tonga,Under-developing country
Tunisia,Under-developing country
Turkey,Under-developing country
Turkmenistan,Under-developing country
Uganda,Under-developing country
Ukraine,Under-developing country
United Arab Emirates,Developed Country
United Kingdom,Developed Country
United States,Developed Country
Uruguay,Under-developing country
Uzbekistan,Under-developing country
Vanuatu,Under-developing country
Venezuela,Under-developing country
Vietnam,Under-developing country
Yemen,Under-developing country
Zambia,Under-developing country
